concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept,PAD (broad),dani_PAD_broad
4178399,From descendants,Common iliac artery thrombosis,Condition,SNOMED,S,x,T
4183844,From descendants,Congenital aneurysm of sinus of Valsalva,Condition,SNOMED,S,,F
4194886,From descendants,External iliac artery occlusion,Condition,SNOMED,S,x,T
4195972,From descendants,Superficial femoral artery occlusion,Condition,SNOMED,S,x,T
4209546,From descendants,Aberrant retro-esophageal subclavian artery causing dysphagia,Condition,SNOMED,S,,F
4231826,From descendants,Upper limb artery stenosis,Condition,SNOMED,S,x,T
4264734,From descendants,Thromboembolism of renal arteries,Condition,SNOMED,S,x,T
36712807,From descendants,Pain at rest of right lower limb due to atherosclerosis,Condition,SNOMED,S,x,T
36712951,From descendants,Aneurysm of intracranial portion of left internal carotid artery,Condition,SNOMED,S,,F
42535829,From descendants,Thromboembolus of external iliac artery,Condition,SNOMED,S,x,T
42536636,From descendants,Acute occlusion of artery of lower limb,Condition,SNOMED,S,x,T
42709999,From descendants,Congenital anomaly of blood vessel of lower limb,Condition,SNOMED,S,,F
