concept_id,found_from,concept_name,domain_id,vocabulary_id,standard_concept
2837875,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Percutaneous @ Pacemaker, Single Chamber Rate Responsive",Procedure,ICD10PCS,S
2837876,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Abdomen @ Percutaneous @ Cardiac Resynchronization Pacemaker Pulse Generator",Procedure,ICD10PCS,S
2840587,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Atrium, Left @ Percutaneous Endoscopic @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2841643,From initial search,Measurement and Monitoring @ Physiological Devices @ Measurement @ Cardiac @ External @ Defibrillator,Procedure,ICD10PCS,S
2842371,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Abdomen @ Percutaneous @ Pacemaker, Single Chamber",Procedure,ICD10PCS,S
2844344,From initial search,Medical and Surgical @ Respiratory System @ Revision @ Diaphragm @ Via Natural or Artificial Opening @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2848485,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Ventricle, Left @ Percutaneous @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2849221,From initial search,"Medical and Surgical @ Respiratory System @ Insertion @ Diaphragm, Right @ Percutaneous @ Diaphragmatic Pacemaker Lead (Deprecated)",Procedure,ICD10PCS,S
2849395,From initial search,Medical and Surgical @ Respiratory System @ Removal @ Diaphragm @ Via Natural or Artificial Opening Endoscopic @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2849710,From initial search,Medical and Surgical @ Respiratory System @ Revision @ Diaphragm @ Percutaneous Endoscopic @ Diaphragmatic Pacemaker Lead,Procedure,ICD10PCS,S
2850416,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Open @ Pacemaker, Single Chamber",Procedure,ICD10PCS,S
2853009,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Coronary Vein @ Open @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2853011,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Atrium, Right @ Percutaneous @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2853017,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Ventricle, Right @ Open @ Cardiac Lead, Defibrillator",Procedure,ICD10PCS,S
2853019,From initial search,"Medical and Surgical @ Heart and Great Vessels @ Insertion @ Pericardium @ Percutaneous @ Cardiac Lead, Pacemaker",Procedure,ICD10PCS,S
2855411,From initial search,"Medical and Surgical @ Subcutaneous Tissue and Fascia @ Insertion @ Subcutaneous Tissue and Fascia, Chest @ Open @ Pacemaker, Dual Chamber",Procedure,ICD10PCS,S
